Title,Date added,Template,Cycle,Session,State under Review,State under Review - Regional Group,State under Review - Organisations,Recommendation,Recommending State,Recommending State - Regional Group,Recommending State - Organisations,Action Category,Response,Issues,Geolocation,Documents,Attachments,Published
137.93.2,2020-05-18,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Burundi,Africa (African Group),"AU (African Union)|OIF (Organisation internationale de la Francophonie)",Decriminalize homosexuality,Iceland,WEOG (Western European & Other States Group),,4 - General action,Noted,Sexual Orientation and Gender Identity,,,,Published
137.93.1,2020-05-18,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Burundi,Africa (African Group),"AU (African Union)|OIF (Organisation internationale de la Francophonie)",Decriminalize homosexuality,Timor-Leste,Asia (Asian Group),,4 - General action,Noted,Sexual Orientation and Gender Identity,,,,Published
158.38.1,2020-05-18,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,"Decriminalize same sex sexual conduct
between consenting
adults ",Belgium,WEOG (Western European & Other States Group),"EU (European Union)|OIF (Organisation internationale de la Francophonie)",5 - Specific action,Supported,Sexual Orientation and Gender Identity,,,,Published
121.92.3,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),,Brunei Darussalam,Asia (Asian Group),"OIC (Organisation of the Islamic Cooperation)|ASEAN (Association of Southeast Asian Nations)|Commonwealth",decriminalize all sexual activity between consenting adults,Australia,Asia (Asian Group),"Commonwealth|PIF (Pacific Islands Forum)",3 - Considering action,,Sexual Orientation and Gender Identity,,,,Published
121.92.2,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),,Brunei Darussalam,Asia (Asian Group),"OIC (Organisation of the Islamic Cooperation)|ASEAN (Association of Southeast Asian Nations)|Commonwealth",decriminalize same-sex sexual conduct between consenting adults,Belgium,WEOG (Western European & Other States Group),"EU (European Union)|OIF (Organisation internationale de la Francophonie)",3 - Considering action,,Sexual Orientation and Gender Identity,,,,Published
121.92.1,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),,Brunei Darussalam,Asia (Asian Group),"OIC (Organisation of the Islamic Cooperation)|ASEAN (Association of Southeast Asian Nations)|Commonwealth",Decriminalize consensual same-sex acts and adultery,Iceland,WEOG (Western European & Other States Group),,3 - Considering action,,Sexual Orientation and Gender Identity,,,,Published
158.39.7,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,Decriminalize consensual same-sex conduct by repealing or amending sections 213 and 214 of the Penal Code of Bhutan,Ireland,WEOG (Western European & Other States Group),EU (European Union),3 - Considering action,Supported,Sexual Orientation and Gender Identity,,,,Published
158.39.6,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,Decriminalize consensual same-sex acts by either revoking or amending sections 213 and 214 of the Penal Code,Iceland,WEOG (Western European & Other States Group),,3 - Considering action,Supported,Sexual Orientation and Gender Identity,,,,Published
158.39.5,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,Decriminalize consensual same-sex conduct by revoking or amending sections 213 and 214 of the Penal Code,Germany,WEOG (Western European & Other States Group),EU (European Union),3 - Considering action,Supported,Sexual Orientation and Gender Identity,,,,Published
158.39.4,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,Revoke section 213 of the Penal Code,Cyprus,Asia (Asian Group),"EU (European Union)|OIF (Organisation internationale de la Francophonie)|Commonwealth",3 - Considering action,Supported,Sexual Orientation and Gender Identity,,,,Published
158.39.3,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,Decriminalize same-sex sexual conduct between consenting adults by amending sections 213 and 214 of the Penal Code,Canada,WEOG (Western European & Other States Group),"OIF (Organisation internationale de la Francophonie)|OAS (Organisation of American States)|Commonwealth",3 - Considering action,Supported,Sexual Orientation and Gender Identity,,,,Published
158.39.2,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,"Repeal sections 213 and 214, which prohibit homosexual acts, from its Penal Code",Switzerland,WEOG (Western European & Other States Group),OIF (Organisation internationale de la Francophonie),3 - Considering action,Supported,Sexual Orientation and Gender Identity,,,,Published
158.39.1,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,"Revoke the provision on sodomy in sections 213 and 214 of the Penal Code, which criminalizes same-sex conduct",Netherlands,WEOG (Western European & Other States Group),EU (European Union),3 - Considering action,Supported,Sexual Orientation and Gender Identity,,,,Published
96.54,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth",Take measures to decriminalize consensual sexual relations between adults of the same sex,Uruguay,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|OEI (Organisation of Ibero-American States)",4 - General action,Noted,Sexual Orientation and Gender Identity,,,,Published
96.53,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Engage in public education and sensitization campaigns about the rights of lesbian, gay, bisexual and transgender persons",Timor-Leste,Asia (Asian Group),,5 - Specific action,Noted,"Human rights education and training|Sexual Orientation and Gender Identity|Disability rights",,,,Published
96.52,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Establish the necessary normative framework to combat discrimination on the grounds of sex, sexual orientation or gender identity in order to promote sexual inclusion and gender equality",Mexico,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|OEI (Organisation of Ibero-American States)|ACS (Association of Caribbean States)",5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
96.51,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Decriminalize same-sex relationships and combat discrimination against lesbian, gay, bisexual, transgender and intersex persons",France,WEOG (Western European & Other States Group),"EU (European Union)|OIF (Organisation internationale de la Francophonie)",5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
96.50,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Adopt legal measures to protect lesbian, gay, bisexual, transgender and intersex persons against violence and discrimination based on sexual orientation or gender identity",Chile,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|OEI (Organisation of Ibero-American States)",5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
96.49,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Combat discrimination, prejudice and violence based on sexual orientation and gender identity through legislative reform and the adoption of awareness-raising measures",Canada,WEOG (Western European & Other States Group),"OAS (Organisation of American States)|OIF (Organisation internationale de la Francophonie)|Commonwealth",4 - General action,Noted,"Sexual Orientation and Gender Identity|Human rights education and training",,,,Published
96.48,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Amend its criminal code to decriminalize consensual same-sex acts, and to take steps to implement legislative and public policy measures to protect the rights of lesbian, gay, bisexual, transgender and intersex persons",Australia,Asia (Asian Group),"PIF (Pacific Islands Forum)|Commonwealth",5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
96.47,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth",Consider repealing provisions that criminalize homosexuality,Italy,WEOG (Western European & Other States Group),EU (European Union),3 - Considering action,Noted,Sexual Orientation and Gender Identity,,,,Published
96.46,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Include lesbian, gay, bisexual, transgender and intersex persons in new legislation to prohibit any type of discrimination or violence based on sexual orientation or gender identity",Uruguay,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|OEI (Organisation of Ibero-American States)",5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
96.45,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth",Immediately repeal laws that criminalize consensual same-sex adult sexual relations,Canada,WEOG (Western European & Other States Group),"OAS (Organisation of American States)|OIF (Organisation internationale de la Francophonie)|Commonwealth",5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
96.44,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Repeal the provisions that criminalize consensual homosexual relations, notably those contained in the Sexual Offences Act, and establish policies to combat discrimination, prejudice and violence based on sexual orientation and gender identity",Iceland,WEOG (Western European & Other States Group),,5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
96.43,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Repeal all legal provisions that discriminate against persons on the grounds of their sexual orientation and gender identity, including the relevant language in the Sexual Offences Act",United Kingdom,WEOG (Western European & Other States Group),"EU (European Union)|Commonwealth",5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
96.42,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Barbados,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Enact legislation that ensures protection from discrimination on the grounds of sexual orientation or gender identity in the areas of employment, health care and education",Netherlands,WEOG (Western European & Other States Group),EU (European Union),5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
105.122,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Bahamas,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Pass comprehensive anti-discrimination legislation that would protect the human rights of all, including lesbian, gay, bisexual, transgender and intersex persons and members of ethnic minority groups",United States,WEOG (Western European & Other States Group),OAS (Organisation of American States),5 - Specific action,Noted,"Sexual Orientation and Gender Identity|Minority rights|Disability rights",,,,Published
105.48,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Bahamas,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Eliminate any legal provision that justifies discrimination for any personal issue, including issues of sexual orientation or gender identity, as previously recommended",Spain,WEOG (Western European & Other States Group),"EU (European Union)|OEI (Organisation of Ibero-American States)",5 - Specific action,Noted,"Sexual Orientation and Gender Identity|UPR process",,,,Published
105.47,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Bahamas,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth",Include same-sex couples in the Domestic Violence (Protection Orders) Act and repeal all provisions that discriminate against persons on the grounds of their sexual orientation,Netherlands,WEOG (Western European & Other States Group),EU (European Union),5 - Specific action,Noted,"Sexual Orientation and Gender Identity|Rights of the Child",,,,Published
105.46,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Bahamas,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Take steps to amend the definition of “discrimination” in order to include gender, sexual orientation, gender identity or expression as grounds within it",Israel,WEOG (Western European & Other States Group),,3 - Considering action,Noted,"Sexual Orientation and Gender Identity|Women's rights",,,,Published
105.45,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Bahamas,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth",Introduce laws to provide redress to people subject to discrimination based on their sexual orientation or gender identity,Australia,Asia (Asian Group),"PIF (Pacific Islands Forum)|Commonwealth",5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
105.44,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Bahamas,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|Commonwealth","Fight discrimination against lesbian, gay, bisexual, transgender and intersex persons",France,WEOG (Western European & Other States Group),"EU (European Union)|OIF (Organisation internationale de la Francophonie)",4 - General action,Noted,Sexual Orientation and Gender Identity,,,,Published
105.43,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Bahamas,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|ACS (Association of Caribbean States)|OEI (Organisation of Ibero-American States)",Increase efforts to combat discrimination based on gender and sexual orientation or gender identity,Chile,GRULAC (Group of Latin American & Caribbean States),,4 - General action,Noted,"Sexual Orientation and Gender Identity|Women's rights",,,,Published
121.93,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth",Decriminalize consensual same-sex relations between adults and enact a law and policies against discrimination and violence based on sexual orientation or gender identity,Mexico,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|OEI (Organisation of Ibero-American States)|ACS (Association of Caribbean States)",5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
121.91,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth","Decriminalize homosexuality, cross-dressing and other “offences” used to target the LGBTIQ community",Greece,WEOG (Western European & Other States Group),"EU (European Union)|OIF (Organisation internationale de la Francophonie)",5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
121.90,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth","Decriminalize sexual activity between same-sex consenting adults, and ensure that the protection of human rights for lesbian, gay, bisexual, transgender and intersex persons is in conformity with its human rights obligations",Canada,WEOG (Western European & Other States Group),"OAS (Organisation of American States)|OIF (Organisation internationale de la Francophonie)|Commonwealth",5 - Specific action,Noted,"Sexual Orientation and Gender Identity|International instruments",,,,Published
121.89,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth","Ensure equal rights and fair treatment to all, regardless of race, nationality, gender or sexual orientation",Norway,WEOG (Western European & Other States Group),,4 - General action,Noted,"Sexual Orientation and Gender Identity|Racial discrimination",,,,Published
121.87,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth","Ensure respect for the dignity and life of all persons regardless of gender, sex, race, national origin, ethnicity or sexual orientation, including through the decriminalization of same-sex relations",Costa Rica,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|OEI (Organisation of Ibero-American States)|ACS (Association of Caribbean States)",4 - General action,Noted,"Sexual Orientation and Gender Identity|Racial discrimination",,,,Published
121.69,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth","Consider alternatives to the current Penal Code, which enshrines in legislation cruel and inhuman forms of punishment, such as the application of the death penalty for offences such as rape, sodomy, extramarital sexual relations, among other offences",Malta,WEOG (Western European & Other States Group),"EU (European Union)|Commonwealth",3 - Considering action,Noted,"Death penalty|Sexual Orientation and Gender Identity|Women's rights",,,,Published
121.68,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth",Ratify the State’s commitment to the protection of human rights by repealing all regulations that sanction and discriminate against persons on the basis of their sexual orientation or gender identity,Chile,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|OEI (Organisation of Ibero-American States)",5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
121.66,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth",Repeal all legislation giving rise to discrimination against persons on the grounds of their sexual orientation or gender identity,Austria,WEOG (Western European & Other States Group),EU (European Union),5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
121.63,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth","Ensure that all amendments to the Penal Code announced in April, which reintroduced the death penalty for adultery and same-sex relations and other offences considered serious by the new legislation, remain without effect",Uruguay,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|OEI (Organisation of Ibero-American States)",5 - Specific action,Noted,"Sexual Orientation and Gender Identity|Women's rights",,,,Published
121.62,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth","Repeal criminal penalties under the sharia Penal Code Order of 2013 that undermine the freedoms of religion and expression, and prohibitions on torture and other cruel, inhuman or degrading treatment or punishment, and would have a detrimental impact on a number of vulnerable groups, including women at risk of violence, religious and ethnic minorities, and lesbian, gay, bisexual, transgender and intersex persons",United States,WEOG (Western European & Other States Group),OAS (Organisation of American States),5 - Specific action,Noted,"Sexual Orientation and Gender Identity|Freedom of religion and belief|Torture and other CID treatment|Women's rights|Minority rights|Racial discrimination",,,,Published
121.59,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth",Revoke immediately the new legislation dated 3 April 2019 that imposes the use of death penalty for homosexuality and adultery and introduces other cruel and inhuman punishment,Sweden,WEOG (Western European & Other States Group),EU (European Union),5 - Specific action,Noted,"Death penalty|Sexual Orientation and Gender Identity",,,,Published
121.51,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth","Review and rescind any laws that contravene the obligations of Brunei Darussalam under the Convention on the Elimination of All Forms of Discrimination against Women, the Convention on the Rights of the Child and the Convention on the Rights of Persons with Disabilities, or that discriminate on the basis of sexual orientation or religion",New Zealand,WEOG (Western European & Other States Group),"PIF (Pacific Islands Forum)|Commonwealth",3 - Considering action,Noted,"Sexual Orientation and Gender Identity|Freedom of religion and belief|Women's rights|International instruments|Rights of the Child|Disability rights|Labour rights",,,,Published
121.50,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth","Repeal or amend those sections of the Penal Code that criminalize consensual same-sex conduct and discriminate against people based on sexual orientation and gender identity, in line with Sustainable Development Goal 10",Netherlands,WEOG (Western European & Other States Group),EU (European Union),5 - Specific action,Noted,"Sexual Orientation and Gender Identity|Right to development",,,,Published
121.41,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth",Decriminalize consensual same-sex conduct and repeal provisions in the Syariah Penal Code Order that are not compliant with international human rights norms,Germany,WEOG (Western European & Other States Group),EU (European Union),5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
121.40,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth","Repeal the provisions of the new Penal Code providing for corporal punishment and the death penalty for several crimes, including adultery, homosexuality, apostasy or blasphemy, contrary to the international commitments in human rights freely accepted by Brunei Darussalam",France,WEOG (Western European & Other States Group),"EU (European Union)|OIF (Organisation internationale de la Francophonie)",5 - Specific action,Noted,"Sexual Orientation and Gender Identity|Torture and other CID treatment|Freedom of religion and belief",,,,Published
121.38,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Brunei Darussalam,Asia (Asian Group),"ASEAN (Association of Southeast Asian Nations)|OIC (Organisation of the Islamic Cooperation)|Commonwealth","Immediately repeal the provisions of the Penal Code, which legalizes cruel, inhuman and degrading punishment and the death penalty for adultery and consensual same-sex sexual acts",Denmark,WEOG (Western European & Other States Group),EU (European Union),5 - Specific action,Noted,"Death penalty|Sexual Orientation and Gender Identity|Torture and other CID treatment",,,,Published
95.186,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Albania,EEG (Eastern European Group),"OIC (Organisation of the Islamic Cooperation)|OIF (Organisation internationale de la Francophonie)",Ensure that the law on the 2020 census does not reintroduce a fine for self-identification statements that do not correspond with civil registry data and address relevant concerns of Albania’s minorities through information campaigns,Greece,WEOG (Western European & Other States Group),"EU (European Union)|OIF (Organisation internationale de la Francophonie)",4 - General action,Supported,"Sexual Orientation and Gender Identity|Minority rights",,,,Published
95.121,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Albania,EEG (Eastern European Group),"OIC (Organisation of the Islamic Cooperation)|OIF (Organisation internationale de la Francophonie)","Ensure that lesbian, gay, bisexual, transgender and intersex individuals are protected from bullying and discrimination in the educational system",Israel,WEOG (Western European & Other States Group),,4 - General action,Supported,"Sexual Orientation and Gender Identity|Right to education",,,,Published
95.120,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Albania,EEG (Eastern European Group),"OIC (Organisation of the Islamic Cooperation)|OIF (Organisation internationale de la Francophonie)","Develop programmes in schools to eliminate harassment of lesbian, gay, bisexual, transgender and intersex children and adolescents, and implement psychological support measures to reduce the dropout rates of such students",Chile,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|OEI (Organisation of Ibero-American States)",5 - Specific action,Supported,"Sexual Orientation and Gender Identity|Rights of the Child",,,,Published
95.105,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Albania,EEG (Eastern European Group),"OIC (Organisation of the Islamic Cooperation)|OIF (Organisation internationale de la Francophonie)","Implement measures that effectively protect lesbian, gay, bisexual, transgender and intersex persons against discrimination in access to medical care",Uruguay,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|OEI (Organisation of Ibero-American States)",5 - Specific action,Supported,"Sexual Orientation and Gender Identity|Right to health|Disability rights",,,,Published
95.49,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Albania,EEG (Eastern European Group),"OIC (Organisation of the Islamic Cooperation)|OIF (Organisation internationale de la Francophonie)",Strengthen policies to combat violent offences and hate crimes based on sexual orientation and gender identity by establishing more solid links with civil society and guaranteeing the implementation of legal provisions on hate crimes,Honduras,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|OEI (Organisation of Ibero-American States)|ACS (Association of Caribbean States)",4 - General action,Supported,"Sexual Orientation and Gender Identity|Racial discrimination",,,,Published
95.27,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Albania,EEG (Eastern European Group),"OIC (Organisation of the Islamic Cooperation)|OIF (Organisation internationale de la Francophonie)","Enhance efforts to implement the National Action Plan for Lesbian, Gay, Bisexual, Transgender and Intersex Persons, particularly the review of academic curricula on gender stereotypes and gender identity, in line with Sustainable Development Goals 5 and 10",Netherlands,WEOG (Western European & Other States Group),EU (European Union),4 - General action,Supported,"Sexual Orientation and Gender Identity|Right to development",,,,Published
95.26,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Albania,EEG (Eastern European Group),"OIC (Organisation of the Islamic Cooperation)|OIF (Organisation internationale de la Francophonie)","Develop a legal framework that recognizes at least same-sex civil unions adopt measures so that gender recognition is based on a self- identification process and is free from abusive requirements, and prohibit medical intervention on intersex minors when there is no strict medical necessity",Spain,WEOG (Western European & Other States Group),"EU (European Union)|OEI (Organisation of Ibero-American States)",5 - Specific action,Noted,"Sexual Orientation and Gender Identity|Women's rights|Rights of the Child",,,,Published
95.25,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Albania,EEG (Eastern European Group),"OIC (Organisation of the Islamic Cooperation)|OIF (Organisation internationale de la Francophonie)","Reform the Family Code so as to give legal recognition to couples of the same sex, fight against discrimination and hate crimes based on sexual orientation and gender identity and guarantee access to health services for lesbian, gay, bisexual, transgender and intersex persons",Mexico,GRULAC (Group of Latin American & Caribbean States),"OAS (Organisation of American States)|OEI (Organisation of Ibero-American States)|ACS (Association of Caribbean States)",4 - General action,Noted,"Sexual Orientation and Gender Identity|Right to health|Racial discrimination",,,,Published
95.24,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Albania,EEG (Eastern European Group),"OIC (Organisation of the Islamic Cooperation)|OIF (Organisation internationale de la Francophonie)",Consider amending the Family Code to provide legal recognition of same-sex partnerships and adopt legal provisions that will allow legal gender recognition for transgender individuals,Malta,WEOG (Western European & Other States Group),"EU (European Union)|Commonwealth",3 - Considering action,Noted,Sexual Orientation and Gender Identity,,,,Published
95.23,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Albania,EEG (Eastern European Group),"OIC (Organisation of the Islamic Cooperation)|OIF (Organisation internationale de la Francophonie)","Intensify efforts to protect lesbian, gay, bisexual, transgender and intersex individuals from acts of violence, discrimination and harassment by fully implementing the National Action Plan for Lesbian, Gay, Bisexual, Transgender and Intersex Persons 2016–2020 and amending the Family Code to provide legal recognition of same-sex partnerships",Ireland,WEOG (Western European & Other States Group),EU (European Union),5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
95.22,2020-03-03,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Albania,EEG (Eastern European Group),"OIC (Organisation of the Islamic Cooperation)|OIF (Organisation internationale de la Francophonie)",Amend the Family Code to provide legal recognition for same-sex partnerships and adopt provisions that allow for legal gender recognition of trans individuals,Iceland,WEOG (Western European & Other States Group),,5 - Specific action,Noted,Sexual Orientation and Gender Identity,,,,Published
